Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2024-03-09,14:00,New Mexico Utd,1–0,Pittsburgh,"11,347",Isotopes Park,Ricardo Fierro,Match Report,
1,Sat,2024-03-09,15:00,Memphis,2–1,LV Lights FC,"3,290",AutoZone Park,Joshua Encarnacion,Match Report,
1,Sat,2024-03-09,19:00,Roots,2–1,Indy Eleven,"5,146",Pioneer Stadium,Elton Garcia,Match Report,
1,Sat,2024-03-09,19:00,Miami FC,2–0,CS Switchbacks,"1,122",Riccardo Silva Stadium,Sergii Demianchuk,Match Report,
1,Sat,2024-03-09,19:00,Sac Republic,2–2,Orange County,"11,569",Heart Health Park,Alexis Da Silva,Match Report,
1,Sat,2024-03-09,19:00,North Carolina,0–0,Charleston,"2,576",Sahlen's Stadium at WakeMed Soccer Park,Jeremy Scheer,Match Report,
1,Sat,2024-03-09,19:30,San Antonio,2–2,Loudoun Utd,"7,263",Toyota Field,Calin Radosav,Match Report,
1,Sat,2024-03-09,19:30,Phx Rising,0–1,B'ham Legion,"8,187",Wild Horse Pass Stadium,Elvis Osmanovic,Match Report,
1,Sat,2024-03-09,20:00,El Paso,0–1,Hartford,"6,111",Southwest University Park,Brandon Stevis,Match Report,
1,Wed,2024-03-13,20:00,El Paso,1–1,Monterey Bay,"4,566",Southwest University Park,Brad Jensen,Match Report,
,,,,,,,,,,,
2,Sat,2024-03-16,14:00,El Paso,0–1,Louisville City,"4,876",Southwest University Park,Abdou Ndiaye,Match Report,
2,Sat,2024-03-16,15:00,Memphis,1–2,Indy Eleven,"2,621",AutoZone Park,Sergii Demianchuk,Match Report,
2,Sat,2024-03-16,16:00,Loudoun Utd,3–1,North Carolina,"3,810",Segra Field,Elvis Osmanovic,Match Report,
2,Sat,2024-03-16,16:00,Rhode Island FC,1–1,New Mexico Utd,"5,252",Beirne Stadium,Jeremy Scheer,Match Report,
2,Sat,2024-03-16,19:00,Pittsburgh,0–2,Orange County,"5,125",Highmark Stadium,Matthew Thompson,Match Report,
2,Sat,2024-03-16,19:00,Miami FC,0–1,Sac Republic,"1,044",Riccardo Silva Stadium,Elton Garcia,Match Report,
2,Sat,2024-03-16,19:30,TB Rowdies,2–2,San Antonio,"7,500",Al Lang Stadium,Alexis Da Silva,Match Report,
2,Sat,2024-03-16,17:00,LV Lights FC,1–3,FC Tulsa,"1,675",Cashman Field,Brandon Stevis,Match Report,
2,Sat,2024-03-16,18:00,CS Switchbacks,1–2,Detroit City,"6,174",Weidner Field,Elijio Arreguin,Match Report,
2,Sat,2024-03-16,19:00,Roots,1–1,Charleston,"4,261",Pioneer Stadium,Ricardo Fierro,Match Report,
2,Sat,2024-03-16,19:00,Monterey Bay,1–0,Phx Rising,"4,867",Cardinale Stadium,Calin Radosav,Match Report,
,,,,,,,,,,,
3,Sat,2024-03-23,14:00,Hartford,1–0,B'ham Legion,2,Trinity Health Stadium,Greg Dopka,Match Report,
3,Sat,2024-03-23,16:00,Louisville City,3–1,Pittsburgh,"9,313",Lynn Family Stadium,Elton Garcia,Match Report,
3,Sat,2024-03-23,16:00,Detroit City,2–1,Loudoun Utd,"6,231",Keyworth Stadium,Adam Kilpatrick,Match Report,
3,Sat,2024-03-23,19:00,North Carolina,1–1,TB Rowdies,"1,796",Sahlen's Stadium at WakeMed Soccer Park,John Griggs,Match Report,
3,Sat,2024-03-23,19:00,Indy Eleven,1–1,Sac Republic,"8,451",Michael A. Carroll Stadium,Joshua Encarnacion,Match Report,
3,Sat,2024-03-23,19:30,Charleston,4–0,New Mexico Utd,"2,958",Patriots Point Soccer Complex,Nabil Bensalah,Match Report,
3,Sun,2024-03-24,15:00,Monterey Bay,2–2,Rhode Island FC,"3,359",Cardinale Stadium,Alexis Da Silva,Match Report,
3,Sat,2024-03-23,17:00,LV Lights FC,1–0,El Paso,"1,070",Cashman Field,Thomas Snyder,Match Report,
3,Sat,2024-03-23,19:00,Orange County,2–2,Miami FC,"5,000",Orange Country Great Park Championship S...,Jeremy Scheer,Match Report,
3,Sat,2024-03-23,19:00,Phx Rising,1–0,Roots,"6,036",Wild Horse Pass Stadium,Matthew Thompson,Match Report,
3,Sat,2024-03-23,19:30,San Antonio,2–0,CS Switchbacks,"6,138",Toyota Field,Abdou Ndiaye,Match Report,
,,,,,,,,,,,
